INFO	 | watchfiles.main	 | 2025-09-30 09:32:49	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:32:53	 | _log_changes:308	 | 4 changes detected
INFO	 | uvicorn.error	 | 2025-09-30 09:32:53	 | shutdown:264	 | Shutting down
INFO	 | uvicorn.error	 | 2025-09-30 09:32:53	 | shutdown:67	 | Waiting for application shutdown.
INFO	 | uvicorn.error	 | 2025-09-30 09:32:53	 | shutdown:76	 | Application shutdown complete.
INFO	 | uvicorn.error	 | 2025-09-30 09:32:53	 | _serve:94	 | Finished server process [14412]
INFO	 | watchfiles.main	 | 2025-09-30 09:32:54	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:32:54	 | _log_changes:308	 | 6 changes detected
INFO	 | uvicorn.error	 | 2025-09-30 09:32:54	 | _serve:84	 | Started server process [13132]
INFO	 | uvicorn.error	 | 2025-09-30 09:32:54	 | startup:48	 | Waiting for application startup.
INFO	 | uvicorn.error	 | 2025-09-30 09:32:54	 | startup:62	 | Application startup complete.
INFO	 | watchfiles.main	 | 2025-09-30 09:32:55	 | _log_changes:308	 | 5 changes detected
INFO	 | watchfiles.main	 | 2025-09-30 09:32:55	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:32:57	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:33:15	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:33:30	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:33:45	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:34:00	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:34:15	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:34:30	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:34:45	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:35:00	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:35:15	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:35:30	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:35:38	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:36:26	 | _log_changes:308	 | 2 changes detected
INFO	 | watchfiles.main	 | 2025-09-30 09:36:27	 | _log_changes:308	 | 2 changes detected
INFO	 | uvicorn.error	 | 2025-09-30 09:36:27	 | shutdown:264	 | Shutting down
INFO	 | uvicorn.error	 | 2025-09-30 09:36:27	 | shutdown:67	 | Waiting for application shutdown.
INFO	 | uvicorn.error	 | 2025-09-30 09:36:27	 | shutdown:76	 | Application shutdown complete.
INFO	 | uvicorn.error	 | 2025-09-30 09:36:27	 | _serve:94	 | Finished server process [13132]
INFO	 | watchfiles.main	 | 2025-09-30 09:36:27	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:36:28	 | _log_changes:308	 | 1 change detected
